satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Department,salary
0.42,0.54,3,122,,support,low
0.18,0.8,2,110,,support,low
0.92,0.91,4,222,,support,low
0.87,0.52,3,237,,support,low
0.72,0.65,4,224,,support,low
0.64,0.58,5,115,,support,low
1,0.66,4,180,,technical,low
0.83,0.65,4,162,,technical,low
0.98,0.58,4,136,,technical,low
0.7,0.87,3,260,,management,low
0.9,0.79,4,150,,IT,low
0.55,0.99,4,248,,IT,low
0.78,0.84,3,233,,IT,low
0.89,0.53,5,272,,IT,low
0.17,0.59,3,197,,IT,low
0.14,0.64,5,164,,product_mng,low
0.85,0.57,4,216,,product_mng,low
0.84,0.79,4,266,,product_mng,low
0.7,0.69,3,102,,product_mng,medium
0.16,0.98,5,284,,IT,medium
0.51,0.69,3,145,,RandD,medium
0.6,0.89,3,167,,RandD,medium
0.5,0.63,3,172,,RandD,medium
0.43,0.39,5,198,,RandD,medium
0.5,0.7,4,201,,RandD,medium
0.91,0.89,4,197,,marketing,medium
0.65,0.93,4,270,,sales,medium
0.59,0.52,2,149,,accounting,medium
0.89,0.56,3,256,,support,medium
0.97,0.6,3,162,,technical,medium
0.56,0.97,5,163,,management,high
0.76,0.93,3,266,,marketing,low
0.28,0.55,4,208,,marketing,medium
0.75,0.51,4,138,,marketing,medium
0.78,0.81,4,232,,sales,medium
0.26,0.63,6,100,,sales,medium
0.53,0.72,2,172,,sales,low
0.25,0.41,3,133,,sales,low
0.82,0.51,3,234,,sales,low
0.71,0.57,2,183,,sales,low
0.61,0.95,4,174,,sales,low
0.89,0.68,3,175,,sales,low
0.57,0.78,3,109,,sales,low
0.93,0.8,4,248,,sales,low
0.61,0.84,5,104,,sales,low
0.56,0.62,3,154,,sales,low
0.7,0.89,6,214,,sales,low
0.9,0.64,4,209,,sales,low
0.15,0.74,6,212,,sales,low
0.39,0.36,3,168,,sales,low
0.74,0.72,4,176,,sales,low
0.7,0.61,4,163,,sales,low
0.72,0.93,4,148,,sales,low
0.61,0.97,3,137,,accounting,low
0.96,1,5,162,,accounting,low
0.7,0.59,4,216,,accounting,low
0.92,0.49,3,240,,hr,low
0.72,0.56,4,176,,hr,medium
0.53,0.75,6,192,,hr,medium
0.67,0.85,3,160,,hr,medium
0.78,0.8,4,194,,technical,medium
0.53,0.75,4,239,,technical,medium
0.9,0.48,4,204,,technical,medium
0.16,0.9,5,258,,technical,medium
0.62,0.38,3,257,,technical,medium
0.62,0.98,4,137,,technical,medium
0.22,0.52,6,175,,technical,medium
0.91,0.82,3,183,,technical,medium
0.87,0.74,4,190,,technical,medium
0.95,0.69,3,225,,technical,high
0.99,0.75,3,215,,technical,low
0.99,0.57,3,176,,support,medium
0.77,0.99,4,153,,support,medium
0.75,0.68,3,150,,support,medium
0.83,0.54,4,259,,support,medium
0.61,0.39,3,99,,support,low
0.91,0.97,3,167,,support,low
0.47,0.64,3,192,,support,low
0.77,0.61,5,146,,support,low
0.55,0.51,3,190,,support,low
0.32,0.48,5,246,,support,low
0.96,0.67,6,190,,support,low
0.72,0.79,5,260,,technical,low
0.8,0.9,4,136,,technical,low
0.61,0.55,4,231,,technical,low
0.97,0.88,3,204,,management,low
0.63,0.93,4,201,,IT,low
0.92,0.92,3,159,,IT,low
0.94,0.74,5,171,,IT,low
0.79,0.72,6,240,,IT,low
0.75,0.73,2,152,,IT,low
0.78,0.99,3,151,,product_mng,low
0.96,0.45,6,232,,product_mng,low
0.65,0.68,4,128,,product_mng,low
0.18,0.94,3,187,,product_mng,low
0.94,0.51,3,160,,IT,low
0.84,0.79,4,259,,RandD,medium
0.67,0.54,2,136,,RandD,medium
0.71,0.5,4,253,,RandD,medium
0.56,0.64,3,260,,RandD,medium
0.29,0.56,5,231,,RandD,medium
0.47,0.9,3,101,,marketing,medium
0.4,0.69,2,174,,sales,medium
0.81,0.82,4,167,,accounting,medium
0.96,0.99,3,148,,support,medium
0.99,0.75,6,139,,technical,medium
0.75,0.77,4,136,,management,medium
0.75,0.74,4,153,,marketing,medium
1,0.86,4,161,,marketing,high
0.52,0.53,2,163,,marketing,low
0.98,0.74,3,164,,sales,medium
0.6,0.64,2,137,,sales,medium
0.38,0.44,3,137,,sales,medium
0.51,0.41,6,106,,sales,medium
0.91,0.61,2,272,,sales,low
0.56,0.62,5,238,,sales,low
0.58,0.69,4,223,,sales,low
0.51,0.53,3,201,,sales,low
0.91,0.55,6,97,,sales,low
0.8,0.98,2,232,,sales,low
0.55,0.83,4,199,,sales,low
0.62,0.53,3,141,,sales,low
0.62,0.6,3,171,,sales,low
0.87,0.58,4,212,,sales,low
0.65,0.5,5,270,,sales,low
0.51,0.64,3,267,,sales,low
0.98,0.77,3,134,,sales,low
0.13,0.43,4,165,,sales,low
0.78,0.76,5,168,,sales,low
0.6,0.98,3,262,,accounting,low
0.68,0.69,3,185,,accounting,low
0.55,0.84,3,237,,accounting,low
0.99,0.79,4,192,,hr,low
0.92,0.68,5,236,,hr,low
1,0.65,4,202,,hr,low
0.77,0.93,4,171,,hr,medium
0.86,0.7,5,160,,technical,medium
0.89,0.84,2,252,,technical,medium
0.58,0.55,5,206,,technical,medium
0.56,0.66,3,212,,technical,medium
0.38,0.64,3,111,,technical,medium
0.62,0.64,3,240,,technical,medium
0.66,0.77,2,171,,technical,medium
0.3,0.44,3,129,,technical,medium
0.82,0.83,3,271,,technical,medium
0.96,0.68,4,162,,technical,medium
0.66,0.95,3,191,,technical,medium
0.79,0.5,5,176,,support,high
0.97,0.77,3,182,,support,low
0.59,0.65,3,226,,support,medium
0.57,0.48,4,161,,support,medium
0.64,0.53,4,163,,support,medium
0.14,0.51,5,173,,support,medium
0.48,0.55,3,228,,support,low
0.78,1,3,139,,support,low
0.96,0.62,5,128,,support,low
0.82,0.97,3,115,,support,low
0.94,0.9,5,191,,support,low
0.95,0.66,4,183,,technical,low
0.59,0.43,3,173,,technical,low
0.69,0.89,4,174,,technical,low
0.74,0.72,3,213,,management,low
0.67,0.67,4,192,,IT,low
0.83,0.52,3,167,,IT,low
0.81,0.85,3,263,,IT,low
0.54,0.73,2,100,,IT,low
0.89,0.83,3,164,,IT,low
0.79,0.74,5,172,,product_mng,low
0.46,0.58,4,171,,product_mng,low
0.99,0.93,4,236,,product_mng,low
0.75,0.9,5,186,,product_mng,low
0.93,0.82,4,175,,IT,low
0.65,0.6,5,227,,RandD,low
0.19,0.63,4,142,,RandD,low
0.48,0.61,2,121,,RandD,medium
0.95,0.64,5,234,,RandD,medium
0.92,0.77,4,185,,RandD,medium
0.84,0.54,4,160,,marketing,medium
0.37,0.63,4,153,,sales,medium
0.22,0.74,3,199,,accounting,medium
0.64,0.54,3,166,,support,medium
0.72,0.88,2,247,,technical,medium
0.48,0.69,4,245,,management,medium
0.12,0.55,5,242,,marketing,medium
0.78,0.98,5,158,,marketing,medium
0.71,0.74,3,163,,marketing,medium
0.38,0.69,3,99,,sales,high
0.57,0.85,4,164,,sales,low
0.72,0.51,3,160,,sales,medium
0.6,0.57,2,184,,sales,medium
0.61,0.55,5,266,,sales,medium
0.67,0.64,4,190,,sales,medium
0.97,0.97,5,192,,sales,low
0.22,0.6,3,205,,sales,low
0.15,0.53,4,205,,sales,low
0.6,0.6,3,258,,sales,low
0.15,0.8,5,151,,sales,low
0.5,0.81,3,148,,sales,low
0.9,0.67,3,179,,sales,low
0.84,0.51,6,141,,sales,low
0.74,0.78,5,216,,sales,low
0.72,0.51,3,235,,sales,low
0.93,0.63,3,160,,sales,low
0.54,0.69,3,141,,sales,low
0.87,0.65,4,246,,sales,low
0.19,0.98,5,226,,accounting,low
0.33,0.4,4,212,,accounting,low
0.94,0.93,4,220,,accounting,low
0.77,0.49,4,266,,hr,low
0.48,0.82,3,183,,hr,low
0.7,0.74,5,263,,hr,low
0.54,0.93,4,161,,hr,low
0.61,0.98,4,199,,technical,low
0.97,0.4,4,258,,technical,medium
0.6,0.85,3,209,,technical,medium
0.93,0.84,5,135,,technical,medium
0.48,0.69,4,222,,technical,medium
0.16,0.76,5,192,,technical,medium
0.18,0.75,3,250,,technical,medium
0.84,0.75,3,187,,technical,medium
0.69,0.63,4,217,,technical,medium
0.22,0.88,4,213,,technical,medium
0.83,0.52,4,273,,technical,medium
0.58,0.5,2,132,,support,medium
0.61,0.62,4,140,,support,medium
0.67,0.5,4,173,,support,high
0.56,0.76,4,189,,support,low
0.74,0.74,3,156,,support,medium
0.92,0.97,4,238,,support,medium
0.81,0.68,5,230,,support,medium
0.48,0.49,4,242,,support,medium
0.73,0.72,4,197,,support,low
0.97,0.66,6,164,,support,low
0.15,0.51,6,248,,support,low
0.69,0.76,5,255,,technical,low
0.61,0.68,5,225,,technical,low
0.86,0.58,3,151,,technical,low
0.55,0.88,4,252,,management,low
0.9,0.74,4,206,,IT,low
0.65,0.4,2,141,,IT,low
0.81,0.92,5,259,,IT,low
0.65,0.86,5,250,,IT,low
0.47,0.86,4,169,,IT,low
0.93,0.53,3,200,,product_mng,low
0.77,0.9,4,104,,product_mng,low
0.87,0.82,6,176,,product_mng,low
0.87,0.84,5,137,,product_mng,low
0.65,0.75,2,151,,IT,low
0.21,0.7,6,130,,RandD,low
0.75,0.59,4,199,,RandD,low
0.72,0.86,4,191,,RandD,low
0.88,0.63,3,273,,RandD,low
0.66,0.58,3,205,,RandD,medium
0.8,0.75,3,181,,marketing,medium
0.22,0.55,4,261,,sales,medium
0.92,0.69,3,192,,accounting,medium
0.54,0.77,4,271,,support,medium
0.91,0.56,4,158,,technical,medium
0.77,0.83,4,231,,management,medium
0.61,0.51,3,156,,marketing,medium
0.48,0.9,4,201,,marketing,medium
0.25,0.69,3,187,,marketing,medium
0.91,0.7,3,132,,sales,medium
0.72,0.58,5,147,,sales,medium
0.77,0.71,4,223,,sales,high
0.41,0.4,2,194,,sales,low
0.51,0.49,4,234,,sales,medium
0.72,0.79,3,149,,sales,medium
0.47,0.57,3,162,,sales,medium
0.53,0.67,4,238,,sales,medium
0.65,0.52,5,149,,sales,low
0.18,0.75,4,170,,sales,low
0.61,0.48,3,250,,sales,low
0.86,0.72,4,167,,sales,low
0.14,0.77,4,166,,sales,low
0.63,0.8,3,205,,sales,low
0.79,0.57,3,250,,sales,low
0.78,0.97,4,142,,sales,low
0.14,0.52,4,217,,sales,low
0.85,0.54,3,139,,sales,low
0.85,0.75,4,139,,sales,low
0.91,0.76,5,152,,accounting,low
0.76,0.74,3,224,,accounting,low
0.62,0.72,5,180,,accounting,low
0.53,0.69,4,216,,hr,low
0.97,0.63,3,133,,hr,low
0.48,0.53,4,271,,hr,low
0.5,0.55,4,148,,hr,low
0.32,0.42,2,99,,technical,low
0.58,0.77,4,196,,technical,low
0.81,0.83,3,196,,technical,low
0.48,0.84,4,228,,technical,medium
0.96,0.88,4,165,,technical,medium
0.56,0.9,3,235,,technical,medium
0.63,0.96,4,167,,technical,medium
0.21,0.5,5,255,,technical,medium
0.94,0.78,3,184,,technical,medium
0.94,0.89,4,239,,technical,medium
0.96,0.54,3,153,,technical,medium
0.49,0.5,4,187,,support,medium
0.82,0.68,2,285,,support,medium
0.6,0.5,3,274,,support,medium
0.76,0.5,3,156,,support,medium
0.69,0.64,5,265,,support,high
1,0.94,4,144,,support,low
0.62,0.66,4,143,,support,medium
0.4,0.99,4,214,,support,medium
0.94,0.91,3,163,,support,medium
0.76,0.84,4,236,,support,medium
0.58,0.69,3,146,,support,low
0.85,0.78,4,106,,technical,low
0.45,0.52,2,105,,technical,low
0.13,0.67,3,181,,technical,low
0.24,0.5,5,174,,management,low
0.64,0.69,3,207,,IT,low
0.63,0.61,6,118,,IT,low
0.61,0.99,4,251,,IT,low
0.71,0.99,2,136,,IT,low
0.9,0.89,5,249,,IT,low
0.17,0.76,4,171,,product_mng,low
0.93,0.97,3,256,,product_mng,low
0.83,0.89,5,141,,product_mng,low
0.58,0.75,4,186,,product_mng,low
0.76,0.5,3,258,,IT,low
0.5,0.78,3,228,,RandD,low
0.22,0.81,5,205,,RandD,low
0.9,0.88,4,174,,RandD,low
0.7,0.63,3,155,,RandD,low
0.73,0.85,5,245,,RandD,low
0.84,0.87,3,271,,marketing,low
0.55,0.63,5,184,,marketing,medium
0.63,0.98,4,175,,sales,medium
0.51,0.92,3,224,,accounting,medium
0.81,0.76,4,177,,support,medium
0.8,0.96,4,268,,technical,medium
0.99,0.97,4,208,,management,medium
0.9,0.87,5,219,,marketing,medium
0.65,0.67,5,128,,marketing,medium
0.75,0.75,3,273,,marketing,medium
0.62,0.49,4,218,,sales,medium
0.61,0.63,5,230,,sales,medium
0.24,0.6,4,195,,sales,medium
0.71,0.63,3,254,,sales,high
0.49,0.8,2,275,,sales,low
0.44,0.66,3,162,,sales,medium
0.75,0.87,4,193,,sales,medium
0.74,0.84,3,239,,sales,medium
0.62,0.87,5,149,,sales,medium
0.51,0.58,3,155,,sales,low
0.61,0.59,5,271,,sales,low
0.56,0.49,5,163,,sales,low
0.79,0.76,3,160,,sales,low
0.68,0.75,6,274,,sales,low
0.9,0.84,2,199,,sales,low
0.83,0.93,5,241,,sales,low
0.94,0.82,3,187,,sales,low
0.21,0.65,5,223,,sales,low
0.58,0.87,3,268,,sales,low
0.52,0.38,6,169,,accounting,low
0.18,0.67,5,285,,accounting,low
0.94,0.91,5,254,,accounting,low
0.69,0.5,3,208,,hr,low
0.65,0.83,4,218,,hr,low
0.46,0.62,2,187,,hr,low
0.72,0.62,4,256,,hr,low
0.3,0.37,6,278,,technical,low
0.51,0.51,4,204,,technical,low
0.43,0.75,3,108,,technical,low
0.56,0.94,3,226,,technical,low
0.63,0.91,4,246,,technical,medium
0.61,0.55,5,260,,technical,medium
0.53,0.73,4,248,,technical,medium
0.87,0.75,3,132,,technical,medium
0.68,0.7,4,185,,technical,medium
0.78,0.84,3,269,,technical,medium
0.49,0.95,4,156,,technical,medium
0.96,0.81,3,212,,support,medium
0.83,0.74,3,221,,support,medium
0.48,0.67,5,273,,support,medium
0.63,0.86,4,271,,support,medium
0.87,0.38,4,183,,support,medium
0.21,0.9,4,271,,support,high
0.79,0.58,5,165,,support,low
0.8,0.96,3,257,,support,medium
0.78,0.82,4,143,,support,medium
0.67,0.65,5,156,,support,medium
0.67,0.71,3,190,,support,medium
0.26,0.67,2,242,,technical,low
0.89,0.83,5,267,,technical,low
0.7,0.53,4,152,,technical,low
0.51,0.48,5,136,,management,low
0.53,0.88,3,157,,IT,low
0.76,0.51,4,281,,IT,low
0.86,0.93,5,208,,IT,low
0.63,0.96,5,152,,IT,low
0.58,0.86,5,271,,IT,low
0.58,0.83,4,163,,product_mng,low
0.9,0.82,4,136,,product_mng,low
0.79,0.57,4,233,,product_mng,low
0.8,0.74,4,221,,product_mng,low
0.53,0.65,2,189,,IT,low
0.52,0.84,2,226,,RandD,low
0.82,0.59,5,201,,RandD,low
0.68,0.9,2,133,,RandD,low
0.21,0.61,3,173,,RandD,low
0.81,0.5,4,152,,RandD,low
0.57,0.9,3,256,,RandD,low
0.99,0.72,3,119,,marketing,low
0.9,1,4,207,,sales,medium
0.76,0.64,3,189,,accounting,medium
0.56,0.92,4,172,,support,medium
0.5,0.93,6,150,,technical,medium
0.48,0.89,5,179,,management,medium
0.99,0.97,3,257,,marketing,medium
0.76,0.8,5,229,,marketing,medium
0.93,0.97,4,227,,marketing,medium
0.99,0.78,4,140,,sales,medium
0.85,0.78,4,251,,sales,medium
0.63,0.95,4,137,,sales,medium
0.63,0.78,3,153,,sales,medium
0.5,0.65,5,242,,sales,high
0.52,0.57,3,150,,sales,low
0.63,0.99,3,247,,sales,medium
0.78,0.5,4,212,,sales,medium
0.98,0.53,3,234,,sales,medium
0.14,1,5,174,,sales,medium
0.7,0.9,3,225,,sales,low
0.88,0.6,4,224,,sales,low
0.72,0.62,3,270,,sales,low
0.88,0.51,4,139,,sales,low
0.71,0.51,3,248,,sales,low
0.6,0.85,3,172,,sales,low
0.88,0.86,4,224,,sales,low
0.55,0.72,5,232,,sales,low
0.85,0.55,4,260,,sales,low
0.84,0.51,2,117,,accounting,low
0.91,0.61,4,243,,accounting,low
0.82,0.62,4,202,,accounting,low
0.6,0.91,2,168,,hr,low
0.89,0.71,5,194,,hr,low
0.6,0.97,4,219,,hr,low
0.64,0.52,4,207,,hr,low
0.93,0.88,4,177,,technical,low
0.81,0.99,3,239,,technical,low
0.31,0.49,4,165,,technical,low
0.68,0.69,4,225,,technical,low
0.78,0.59,3,212,,technical,low
0.44,0.42,4,159,,technical,medium
0.64,0.93,4,233,,technical,medium
0.81,0.63,4,108,,technical,medium
0.5,0.49,3,214,,technical,medium
0.69,0.61,5,229,,technical,medium
0.77,0.75,4,223,,technical,medium
0.69,0.56,4,178,,support,medium
0.87,0.68,4,246,,support,medium
0.85,0.91,4,145,,support,medium
0.83,0.83,4,224,,support,medium
0.68,0.51,3,259,,support,medium
0.78,0.65,4,207,,support,medium
0.78,0.89,3,253,,support,high
0.93,0.68,4,196,,support,low
0.54,0.75,3,240,,support,medium
0.76,0.56,3,255,,support,medium
0.4,0.72,3,139,,support,medium
0.73,0.81,3,168,,technical,medium
0.86,0.98,5,233,,technical,low
0.38,0.68,5,211,,technical,low
0.71,0.48,5,114,,management,low
0.58,0.97,5,202,,IT,low
0.67,0.59,3,177,,IT,low
0.55,0.76,4,233,,IT,low
0.76,0.98,2,111,,IT,low
0.7,0.82,3,178,,IT,low
0.66,0.46,4,204,,product_mng,low
0.96,0.72,3,272,,product_mng,low
0.6,0.77,4,157,,product_mng,low
0.54,0.94,5,229,,product_mng,low
0.85,0.9,5,202,,IT,low
0.96,0.84,3,264,,RandD,low
0.86,0.62,3,256,,RandD,low
0.53,0.87,3,151,,RandD,low
0.91,0.95,3,251,,RandD,low
0.33,0.7,5,271,,RandD,low
0.75,0.73,4,274,,RandD,low
0.97,0.8,3,169,,marketing,low
0.68,0.51,4,176,,sales,low
0.68,0.7,5,168,,accounting,medium
0.57,0.87,4,171,,support,medium
0.87,0.9,4,214,,technical,medium
0.5,0.91,5,224,,management,medium
0.76,0.59,3,191,,marketing,medium
0.79,0.61,5,96,,marketing,medium
0.17,0.9,6,217,,marketing,medium
0.6,0.62,4,135,,sales,medium
0.89,0.67,3,226,,sales,medium
0.69,0.87,3,202,,sales,medium
0.68,0.85,2,180,,sales,medium
0.61,0.87,5,174,,sales,medium
0.63,0.5,3,140,,sales,high
0.5,0.96,4,147,,sales,low
0.49,0.74,2,263,,sales,medium
0.83,0.55,5,261,,sales,medium
0.59,0.71,2,176,,sales,medium
0.75,0.93,2,98,,sales,medium
0.66,0.48,3,192,,sales,low
0.68,0.51,4,157,,sales,low
0.73,0.58,5,230,,sales,low
0.98,0.53,4,192,,sales,low
0.86,0.65,3,161,,sales,low
0.5,0.55,3,176,,sales,low
0.76,0.76,3,216,,sales,low
0.3,0.47,4,176,,sales,low
0.3,0.86,3,276,,accounting,low
0.64,0.59,3,174,,accounting,low
0.59,0.75,3,106,,accounting,low
0.85,0.63,4,154,,hr,low
0.76,0.93,3,271,,hr,low
0.63,0.5,5,246,,hr,low
0.65,0.86,4,264,,hr,low
0.43,0.68,3,197,,technical,low
0.83,0.56,4,165,,technical,low
0.49,0.77,4,218,,technical,low
0.67,0.73,3,203,,technical,low
0.9,0.47,2,107,,technical,low
0.83,0.96,3,179,,technical,low
0.92,0.84,5,264,,technical,medium
0.83,0.7,5,154,,technical,medium
0.64,0.55,4,167,,technical,medium
0.93,0.97,4,158,,technical,medium
0.6,0.87,4,227,,technical,medium
0.74,0.69,3,230,,support,medium
0.56,0.75,5,143,,support,medium
0.61,0.77,4,142,,support,medium
0.63,0.62,4,184,,support,medium
0.24,0.62,5,169,,support,medium
0.17,0.56,5,218,,support,medium
0.46,0.64,2,121,,support,medium
0.68,0.48,4,251,,support,high
0.68,0.6,2,192,,support,low
0.16,0.71,6,227,,support,medium
0.15,0.56,6,140,,support,medium
0.55,0.49,3,152,,technical,medium
0.72,0.66,4,202,,technical,medium
0.91,0.89,2,219,,technical,low
0.3,0.91,4,248,,management,low
0.56,0.68,5,203,,IT,low
0.94,0.94,3,255,,IT,low
0.82,0.63,5,177,,IT,low
0.66,0.86,5,185,,IT,low
0.74,0.64,4,101,,IT,low
0.63,0.5,3,246,,product_mng,low
0.65,0.42,6,220,,product_mng,low
0.56,0.81,3,145,,product_mng,low
0.32,0.73,6,194,,product_mng,low
0.8,0.9,4,241,,IT,low
0.34,0.87,6,175,,RandD,low
0.62,0.71,5,149,,RandD,low
0.5,0.86,3,253,,RandD,low
0.58,0.98,5,218,,RandD,low
0.94,0.9,2,263,,RandD,low
0.67,0.99,4,247,,RandD,low
0.2,0.74,6,148,,marketing,low
0.91,0.59,5,162,,sales,low
0.91,0.67,2,255,,accounting,low
0.78,0.87,3,191,,support,medium
0.82,0.55,3,217,,technical,medium
0.54,0.96,3,201,,management,medium
0.53,0.81,3,253,,marketing,medium
0.47,0.55,4,122,,marketing,medium
0.87,0.5,3,269,,marketing,medium
0.5,0.68,4,161,,sales,medium
0.59,0.83,3,156,,sales,medium
0.89,0.69,3,173,,sales,medium
0.54,0.49,4,152,,sales,medium
0.62,0.85,3,145,,sales,medium
0.91,0.85,3,248,,sales,medium
0.84,0.99,2,184,,sales,high
0.69,0.65,4,232,,sales,low
0.76,0.63,3,162,,sales,medium
0.8,0.54,4,269,,sales,medium
0.4,0.47,5,108,,sales,medium
0.8,0.99,3,248,,sales,medium
0.76,0.4,2,122,,sales,low
0.55,0.9,4,273,,sales,low
0.98,0.63,3,285,,sales,low
0.54,0.56,4,227,,sales,low
0.63,0.56,4,248,,sales,low
0.88,0.63,3,257,,sales,low
0.5,0.95,5,194,,sales,low
0.52,0.72,3,253,,accounting,low
0.89,0.95,4,141,,accounting,low
0.55,0.9,4,199,,accounting,low
0.51,0.81,3,143,,hr,low
0.35,0.52,5,244,,hr,low
0.54,0.71,5,173,,hr,low
0.72,0.84,4,186,,hr,low
0.61,0.93,2,247,,technical,low
0.17,0.93,3,218,,technical,low
0.71,0.88,3,140,,technical,low
0.88,0.52,4,166,,technical,low
0.48,1,3,216,,technical,low
0.16,0.97,6,235,,technical,low
0.62,0.72,3,188,,technical,low
0.59,0.47,3,143,,technical,medium
0.14,0.9,4,198,,technical,medium
0.96,0.92,4,148,,technical,medium
0.96,0.42,6,101,,technical,medium
0.13,0.89,4,249,,support,medium
0.64,0.61,5,249,,support,medium
0.64,0.67,5,198,,support,medium
0.57,0.72,3,202,,support,medium
0.49,1,3,176,,support,medium
0.89,0.79,4,133,,support,medium
0.94,0.75,5,238,,support,medium
0.51,0.58,2,181,,support,medium
0.8,0.85,5,242,,support,high
0.74,0.51,4,185,,support,low
0.66,0.85,4,237,,support,medium
0.66,0.99,5,244,,technical,medium
0.59,0.62,3,178,,technical,medium
0.91,0.57,3,164,,technical,medium
0.83,0.98,5,189,,management,low
0.5,0.91,3,212,,IT,low
0.69,0.97,4,233,,IT,low
0.87,0.91,5,268,,IT,low
0.37,0.43,2,155,,IT,low
0.9,0.98,4,257,,IT,low
0.68,0.41,4,254,,product_mng,low
0.93,0.63,4,143,,product_mng,low
0.95,0.45,3,225,,product_mng,low
0.99,1,4,223,,product_mng,low
0.64,0.9,2,101,,IT,low
0.96,0.37,2,159,,RandD,low
0.92,0.54,5,141,,RandD,low
0.22,0.52,5,147,,RandD,low
0.82,0.99,5,252,,RandD,low
0.75,0.89,3,196,,RandD,low
0.2,0.89,6,244,,RandD,low
0.64,0.73,3,142,,marketing,low
0.62,0.9,4,155,,sales,low
0.73,0.59,3,219,,accounting,low
0.52,0.51,3,213,,support,low
0.63,0.67,5,263,,technical,medium
0.84,0.92,4,274,,management,medium
0.49,0.96,3,140,,marketing,medium
0.54,0.78,4,176,,marketing,medium
0.52,0.78,4,206,,marketing,medium
0.66,0.63,6,223,,sales,medium
0.73,0.41,2,231,,sales,medium
0.54,0.64,3,250,,sales,medium
0.72,0.68,5,266,,sales,medium
0.75,0.64,4,247,,sales,medium
0.77,0.57,3,189,,sales,medium
0.42,0.94,5,227,,sales,medium
0.13,0.69,4,127,,sales,high
0.73,0.88,5,204,,sales,low
0.5,0.95,5,137,,sales,medium
0.92,0.62,4,265,,sales,medium
0.73,0.66,3,135,,sales,medium
0.74,0.38,2,126,,sales,medium
0.76,0.78,3,189,,sales,low
0.53,0.92,3,207,,sales,low
0.65,0.72,3,134,,sales,low
0.91,0.85,4,203,,sales,low
0.69,0.76,5,222,,sales,low
0.56,0.66,3,232,,sales,low
0.55,0.81,4,267,,accounting,low
0.74,0.5,5,131,,accounting,low
0.86,0.86,3,155,,accounting,low
0.82,0.74,3,232,,hr,low
0.35,0.8,3,137,,hr,low
0.93,0.99,4,136,,hr,low
0.55,0.77,3,237,,hr,low
0.99,0.68,4,190,,technical,low
0.91,0.89,4,144,,technical,low
0.24,0.65,6,194,,technical,low
0.77,0.67,3,186,,technical,low
0.64,0.66,3,218,,technical,low
0.58,0.76,5,260,,technical,low
0.65,0.99,4,200,,technical,low
0.44,0.68,3,140,,technical,low
0.59,0.75,2,156,,technical,medium
0.99,0.56,3,193,,technical,medium
0.75,0.79,4,145,,technical,medium
0.77,0.49,4,217,,support,medium
0.85,0.64,4,162,,support,medium
0.77,0.93,5,182,,support,medium
0.54,0.95,3,221,,support,medium
0.69,0.82,4,208,,support,medium
0.66,0.65,5,161,,support,medium
0.51,0.65,4,269,,support,medium
0.74,0.59,4,155,,support,medium
0.55,0.72,3,110,,support,medium
0.65,0.84,3,154,,support,high
0.2,0.77,6,213,,support,low
0.92,0.94,5,248,,technical,medium
0.57,0.6,3,202,,technical,medium
0.75,0.78,2,251,,technical,medium
0.68,0.84,3,239,,management,medium
0.97,0.7,3,203,,IT,low
0.79,0.48,4,184,,IT,low
0.66,0.75,4,203,,IT,low
0.96,0.69,3,214,,IT,low
0.73,0.69,4,161,,IT,low
0.29,0.58,5,234,,product_mng,low
0.58,0.56,3,151,,product_mng,low
0.72,0.58,4,149,,product_mng,low
0.94,0.87,4,240,,product_mng,low
0.48,0.56,5,140,,IT,low
0.6,0.99,3,187,,RandD,low
0.97,0.58,5,156,,RandD,low
0.74,0.41,4,250,,RandD,low
0.97,0.61,3,165,,RandD,low
0.88,0.67,5,260,,RandD,low
0.5,0.7,3,274,,marketing,low
0.93,0.98,4,160,,sales,low
0.3,0.7,5,280,,accounting,low
0.69,0.53,3,142,,support,low
0.69,0.9,2,155,,technical,low
0.53,0.67,4,167,,management,low
0.32,0.8,3,263,,marketing,medium
0.73,0.75,3,259,,marketing,medium
0.77,0.61,4,223,,marketing,medium
0.59,0.81,6,123,,sales,medium
0.19,0.51,5,226,,sales,medium
0.78,0.95,3,270,,sales,medium
0.84,0.74,3,139,,sales,medium
0.65,0.77,5,241,,sales,medium
0.38,0.43,2,160,,sales,medium
0.12,0.47,3,258,,sales,medium
0.74,0.81,5,106,,sales,medium
0.67,0.82,4,171,,sales,medium
0.5,0.79,3,186,,sales,high
0.99,0.39,6,214,,sales,low
0.79,0.89,4,240,,sales,medium
0.72,0.51,4,164,,sales,medium
0.83,0.57,4,232,,sales,medium
0.69,0.55,5,242,,sales,medium
0.5,0.89,5,222,,sales,low
0.82,0.84,3,139,,sales,low
0.68,0.56,4,272,,sales,low
0.82,0.69,4,262,,sales,low
0.32,0.81,2,249,,accounting,low
0.93,0.86,4,219,,accounting,low
0.42,0.73,4,208,,accounting,low
0.22,0.44,3,166,,hr,low
0.56,0.88,3,174,,hr,low
0.77,0.75,4,225,,hr,low
0.29,0.48,2,116,,hr,low
0.97,0.65,3,219,,technical,low
0.91,0.7,4,196,,technical,low
0.52,0.67,4,210,,technical,low
0.54,0.64,2,219,,technical,low
0.54,0.98,3,197,,technical,low
0.67,0.52,2,102,,technical,low
